timestamp,robot_id,sigma_x,sigma_y,sigma_theta
1763489005.509890,2,0.435405,0.305736,0.189947
1763489005.509890,3,0.278364,0.231861,0.168080
1763489005.509890,4,0.324901,0.440162,0.224030
1763489005.509890,5,0.264130,0.330336,0.226264
1763489008.507980,1,0.370566,0.409523,0.223185
1763489008.507980,2,0.497166,0.376668,0.240995
1763489008.507980,3,0.411667,0.234680,0.190684
1763489008.507980,4,0.484537,0.586298,0.341945
1763489008.507980,5,0.245284,0.337587,0.226412
1763489011.507465,1,0.257753,0.216255,0.151650
1763489011.507465,2,0.272390,0.240397,0.222043
1763489011.507465,3,0.629447,0.282798,0.246662
1763489011.507465,4,0.704131,0.777527,0.497862
1763489011.507465,5,0.330162,0.454712,0.346837
1763489014.506810,1,0.257721,0.232135,0.166957
1763489014.506810,2,0.273163,0.201195,0.151402
1763489014.506810,3,0.359823,0.226454,0.292724
1763489014.506810,4,0.335741,0.240057,0.610243
1763489014.506810,5,0.376990,0.141823,0.128517
1763489017.506905,1,0.292675,0.175026,0.151728
1763489017.506905,2,0.428000,0.299407,0.209203
1763489017.506905,3,0.372152,0.253376,0.312819
1763489017.506905,4,0.341491,0.243026,0.710239
1763489017.506905,5,0.312196,0.204562,0.157342
1763489020.506676,1,0.314058,0.232527,0.201681
1763489020.506676,2,0.481781,0.365776,0.209483
1763489020.506676,3,0.388451,0.264798,0.471539
1763489020.506676,4,0.428875,0.268772,0.239499
1763489020.506676,5,0.350586,0.192309,0.154457
1763489023.508412,1,0.456180,0.276375,0.210185
1763489023.508412,2,0.364930,0.232760,0.164044
1763489023.508412,3,0.348316,0.257863,0.585390
1763489023.508412,4,0.394135,0.337348,0.279511
1763489023.508412,5,0.267314,0.163852,0.129061
1763489026.506090,1,0.516007,0.252315,0.197771
1763489026.506090,2,0.439366,0.364647,0.220748
1763489026.506090,3,0.265315,0.204384,0.180775
1763489026.506090,4,0.272140,0.219213,0.188244
1763489026.506090,5,0.232604,0.161336,0.121405
1763489029.506963,1,0.658604,0.414063,0.339709
1763489029.506963,2,0.266803,0.417375,0.245867
1763489029.506963,3,0.272178,0.288025,0.222699
1763489029.506963,4,0.301128,0.359683,0.218973
1763489029.506963,5,0.340951,0.306422,0.198634
1763489032.506482,1,0.387261,0.270191,0.221127
1763489032.506482,2,0.254577,0.544250,0.324013
1763489032.506482,3,0.331972,0.280323,0.291215
1763489032.506482,4,0.344895,0.429531,0.284500
1763489032.506482,5,0.318439,0.303354,0.208676
1763489035.510639,1,0.411371,0.233007,0.194254
1763489035.510639,2,0.441543,0.315527,0.195670
1763489035.510639,3,0.259251,0.213869,0.169200
1763489035.510639,4,0.421044,0.523804,0.389971
1763489035.510639,5,0.273080,0.240598,0.195738
1763489038.507568,1,0.361071,0.190515,0.183044
